park,year,total_visitors,visitor_spending,average_spending
Acadia National Park,2012,"2,431,052","200,920.00",0.08
Acadia National Park,2013,"2,254,922","190,953.90",0.08
Acadia National Park,2014,"2,563,128","221,130.50",0.09
Acadia National Park,2015,"2,811,184","247,910.80",0.09
Acadia National Park,2016,"3,303,394","274,208.80",0.08
Acadia National Park,2017,"3,509,271","284,459.80",0.08
Acadia National Park,2018,"3,537,575","387,654.00",0.11
American Samoa National Park,2012,"10,440",561.80,0.05
American Samoa National Park,2013,"17,919",987.70,0.06
American Samoa National Park,2014,"13,952",782.50,0.06
American Samoa National Park,2015,"13,893",795.50,0.06
American Samoa National Park,2016,"28,893","1,689.30",0.06
American Samoa National Park,2017,"69,468","3,971.70",0.06
American Samoa National Park,2018,"28,625","1,690.00",0.06
Arches National Park,2012,"1,070,577","115,859.90",0.11
Arches National Park,2013,"1,082,866","120,171.70",0.11
Arches National Park,2014,"1,284,768","146,081.20",0.11
Arches National Park,2015,"1,399,247","162,718.20",0.12
Arches National Park,2016,"1,585,719","188,802.50",0.12
Arches National Park,2017,"1,539,028","182,505.50",0.12
Arches National Park,2018,"1,663,556","200,337.00",0.12
Badlands National Park,2012,"883,406","52,145.40",0.06
Badlands National Park,2013,"892,373","53,653.60",0.06
Badlands National Park,2014,"868,094","53,312.90",0.06
Badlands National Park,2015,"989,354","62,209.20",0.06
Badlands National Park,2016,"996,263","63,746.60",0.06
Badlands National Park,2017,"1,054,325","66,005.90",0.06
Badlands National Park,2018,"1,008,942","65,840.00",0.07
Big Bend National Park,2012,"292,055","24,230.10",0.08
Big Bend National Park,2013,"316,952","26,801.90",0.08
Big Bend National Park,2014,"314,102","27,185.40",0.09
Big Bend National Park,2015,"381,747","33,426.30",0.09
Big Bend National Park,2016,"388,290","34,197.40",0.09
Big Bend National Park,2017,"440,275","37,305.30",0.08
Big Bend National Park,2018,"440,091","38,865.00",0.09
Biscayne National Park,2012,"495,613","29,193.60",0.06
Biscayne National Park,2013,"486,848","29,412.30",0.06
Biscayne National Park,2014,"525,745","32,351.30",0.06
Biscayne National Park,2015,"508,164","31,927.30",0.06
Biscayne National Park,2016,"514,709","33,004.10",0.06
Biscayne National Park,2017,"446,961","27,986.70",0.06
Biscayne National Park,2018,"469,254","30,309.00",0.06
Black Canyon Of The Gunnison National Park,2012,"192,570","11,027.60",0.06
Black Canyon Of The Gunnison National Park,2013,"175,852","10,297.10",0.06
Black Canyon Of The Gunnison National Park,2014,"183,046","10,948.40",0.06
Black Canyon Of The Gunnison National Park,2015,"209,165","12,723.90",0.06
Black Canyon Of The Gunnison National Park,2016,"238,017","14,616.10",0.06
Black Canyon Of The Gunnison National Park,2017,"307,142","18,656.50",0.06
Black Canyon Of The Gunnison National Park,2018,"308,962","19,315.00",0.06
Bryce Canyon National Park,2012,"1,385,352","108,946.20",0.08
Bryce Canyon National Park,2013,"1,311,875","105,745.80",0.08
Bryce Canyon National Park,2014,"1,435,741","117,882.80",0.08
Bryce Canyon National Park,2015,"1,745,804","145,879.80",0.08
