park,year,word,counts,part_of_speech
Acadia National Park,2017,absolutely,4,ADV
Acadia National Park,2017,absorb,1,VERB
Acadia National Park,2017,acadi,1,NOUN
Acadia National Park,2017,acadia,16,NOUN
Acadia National Park,2017,access,1,NOUN
Acadia National Park,2017,afternoon,1,NOUN
Acadia National Park,2017,amazing,13,ADJ
Acadia National Park,2017,amenities,1,NOUN
Acadia National Park,2017,american,1,ADJ
Acadia National Park,2017,annua,1,NOUN
Acadia National Park,2017,arcadia,1,INTJ
Acadia National Park,2017,area,2,NOUN
Acadia National Park,2017,avoid,1,VERB
Acadia National Park,2017,awesome,10,ADJ
Acadia National Park,2017,bar,4,NOUN
Acadia National Park,2017,beautiful,53,ADJ
Acadia National Park,2017,beauty,11,NOUN
Acadia National Park,2017,best,7,ADJ
Acadia National Park,2017,better,1,ADV
Acadia National Park,2017,breath,3,NOUN
Acadia National Park,2017,breathing,1,NOUN
Acadia National Park,2017,breathtaking,5,NOUN
Acadia National Park,2017,brilliant,2,ADJ
Acadia National Park,2017,bucket,4,NOUN
Acadia National Park,2017,bus,1,NOUN
Acadia National Park,2017,busy,1,ADJ
Acadia National Park,2017,cadillac,7,NOUN
Acadia National Park,2017,came,1,VERB
Acadia National Park,2017,car,1,NOUN
Acadia National Park,2017,carriage,1,NOUN
Acadia National Park,2017,cars,1,NOUN
Acadia National Park,2017,check,1,VERB
Acadia National Park,2017,clear,1,ADJ
Acadia National Park,2017,coast,4,NOUN
Acadia National Park,2017,color,1,NOUN
Acadia National Park,2017,combination,1,NOUN
Acadia National Park,2017,compare,1,VERB
Acadia National Park,2017,convenient,1,ADJ
Acadia National Park,2017,country,1,NOUN
Acadia National Park,2017,couple,1,NOUN
Acadia National Park,2017,crowded,1,VERB
Acadia National Park,2017,day,6,NOUN
Acadia National Park,2017,days,2,NOUN
Acadia National Park,2017,definitely,1,ADV
Acadia National Park,2017,desert,1,NOUN
Acadia National Park,2017,destination,1,NOUN
Acadia National Park,2017,disappointment,1,NOUN
Acadia National Park,2017,diversity,1,NOUN
Acadia National Park,2017,drive,5,VERB
Acadia National Park,2017,eagle,1,VERB
Acadia National Park,2017,earth,2,NOUN
Acadia National Park,2017,east,5,ADV
Acadia National Park,2017,emulate,1,VERB
Acadia National Park,2017,england,3,NOUN
Acadia National Park,2017,enjoyed,1,VERB
Acadia National Park,2017,everytime,1,ADV
Acadia National Park,2017,exceeded,3,VERB
Acadia National Park,2017,excellent,2,ADJ
Acadia National Park,2017,expansive-,1,NOUN
Acadia National Park,2017,expectations,3,NOUN
Acadia National Park,2017,experience,1,NOUN
Acadia National Park,2017,explore,1,VERB
Acadia National Park,2017,eyes,1,NOUN
Acadia National Park,2017,fabulous,1,ADJ
Acadia National Park,2017,fall,6,VERB
Acadia National Park,2017,fantastic,4,ADJ
Acadia National Park,2017,favorite,2,ADJ
Acadia National Park,2017,feast,1,NOUN
Acadia National Park,2017,finest,1,ADJ
Acadia National Park,2017,foliage,4,NOUN
Acadia National Park,2017,galore,2,NOUN
Acadia National Park,2017,gem,5,NOUN
Acadia National Park,2017,god,2,INTJ
Acadia National Park,2017,good,2,ADJ
Acadia National Park,2017,gorgeous,9,ADJ
Acadia National Park,2017,gourgeous,1,ADJ
Acadia National Park,2017,grandeur,1,NOUN
Acadia National Park,2017,great,10,ADJ
Acadia National Park,2017,half,1,NOUN
Acadia National Park,2017,handicapped,1,VERB
Acadia National Park,2017,harbor,3,VERB
Acadia National Park,2017,harbour,1,NOUN
Acadia National Park,2017,heaven,2,PROPN
Acadia National Park,2017,highlight,2,NOUN
Acadia National Park,2017,hike,1,INTJ
Acadia National Park,2017,hikes,2,VERB
Acadia National Park,2017,hiking,2,VERB
Acadia National Park,2017,historic,1,ADJ
Acadia National Park,2017,iconic,1,ADJ
Acadia National Park,2017,imagined,1,VERB
Acadia National Park,2017,incredible,1,ADJ
Acadia National Park,2017,island,2,NOUN
Acadia National Park,2017,jem,1,INTJ
Acadia National Park,2017,jordan,1,NOUN
Acadia National Park,2017,justice,1,NOUN
Acadia National Park,2017,lake,1,NOUN
Acadia National Park,2017,land,1,NOUN
Acadia National Park,2017,leaf,1,NOUN
Acadia National Park,2017,life,1,NOUN
Acadia National Park,2017,line,1,NOUN
Acadia National Park,2017,list,4,NOUN
Acadia National Park,2017,lofty,1,ADJ
Acadia National Park,2017,loop,2,NOUN
Acadia National Park,2017,lots,5,NOUN
Acadia National Park,2017,love,3,NOUN
Acadia National Park,2017,loved,1,VERB
Acadia National Park,2017,lovely,2,ADJ
Acadia National Park,2017,lovers,1,NOUN
Acadia National Park,2017,loving,1,VERB
Acadia National Park,2017,maine,1,NOUN
Acadia National Park,2017,maintained,1,VERB
Acadia National Park,2017,miss,1,VERB
Acadia National Park,2017,missed,1,VERB
Acadia National Park,2017,mother,1,NOUN
Acadia National Park,2017,mothers,1,NOUN
Acadia National Park,2017,mountain,6,NOUN
Acadia National Park,2017,nation,1,NOUN
Acadia National Park,2017,national,31,ADJ
Acadia National Park,2017,natural,5,ADJ
Acadia National Park,2017,nature,6,NOUN
Acadia National Park,2017,needs,1,NOUN
Acadia National Park,2017,new,3,ADJ
Acadia National Park,2017,nice,2,ADJ
Acadia National Park,2017,north,2,NOUN
Acadia National Park,2017,oct,1,NOUN
Acadia National Park,2017,october,2,NOUN
Acadia National Park,2017,offer,1,VERB
Acadia National Park,2017,old,1,ADJ
Acadia National Park,2017,outstanding,3,ADJ
Acadia National Park,2017,park,45,NOUN
Acadia National Park,2017,parks,4,NOUN
Acadia National Park,2017,peak,2,NOUN
Acadia National Park,2017,peeping,1,VERB
Acadia National Park,2017,people,1,NOUN
Acadia National Park,2017,perfectly,1,ADV
Acadia National Park,2017,photo,1,NOUN
Acadia National Park,2017,place,12,NOUN
Acadia National Park,2017,places,1,NOUN
Acadia National Park,2017,plan,2,NOUN
Acadia National Park,2017,pond,1,NOUN
Acadia National Park,2017,preserved,1,VERB
Acadia National Park,2017,reality,1,NOUN
Acadia National Park,2017,reason,1,NOUN
Acadia National Park,2017,repeat,1,VERB
Acadia National Park,2017,restaurant,1,NOUN
