park,review_year,user_rating,rating_count,vote_count
Acadia National Park,2017,2,1,82
Acadia National Park,2017,3,3,122
Acadia National Park,2017,4,15,1134
Acadia National Park,2017,5,223,12623
Acadia National Park,2018,1,1,2
Acadia National Park,2018,3,10,604
Acadia National Park,2018,4,63,3289
Acadia National Park,2018,5,722,30894
Acadia National Park,2019,1,2,13
Acadia National Park,2019,2,4,146
Acadia National Park,2019,3,10,330
Acadia National Park,2019,4,49,2941
Acadia National Park,2019,5,439,20250
Arches National Park,2013,5,1,254
Arches National Park,2014,5,2,40
Arches National Park,2015,2,1,8
Arches National Park,2015,3,4,125
Arches National Park,2015,4,59,2888
Arches National Park,2015,5,589,28818
Arches National Park,2016,1,7,59
Arches National Park,2016,2,9,687
Arches National Park,2016,3,42,1655
Arches National Park,2016,4,238,9316
Arches National Park,2016,5,2500,97037
Arches National Park,2017,1,4,182
Arches National Park,2017,2,8,177
Arches National Park,2017,3,61,2020
Arches National Park,2017,4,291,14364
Arches National Park,2017,5,1931,90258
Arches National Park,2018,1,4,24
Arches National Park,2018,2,4,98
Arches National Park,2018,3,20,1148
Arches National Park,2018,4,140,6153
Arches National Park,2018,5,1424,148650
Arches National Park,2019,1,1,257
Arches National Park,2019,2,3,324
Arches National Park,2019,3,15,674
Arches National Park,2019,4,66,2913
Arches National Park,2019,5,983,39400
Badlands National Park,2016,2,1,0
Badlands National Park,2016,3,5,183
Badlands National Park,2016,4,27,3028
Badlands National Park,2016,5,155,6817
Badlands National Park,2017,3,3,82
Badlands National Park,2017,4,28,1567
Badlands National Park,2017,5,178,10337
Badlands National Park,2018,4,19,1812
Badlands National Park,2018,5,210,13094
Badlands National Park,2019,1,1,8
Badlands National Park,2019,4,25,6971
Badlands National Park,2019,5,141,7317
Carlsbad Caverns National Park,2009,5,2,66
Carlsbad Caverns National Park,2010,5,9,466
Carlsbad Caverns National Park,2011,3,1,284
Carlsbad Caverns National Park,2011,5,20,2453
Carlsbad Caverns National Park,2012,3,1,4
Carlsbad Caverns National Park,2012,4,15,728
Carlsbad Caverns National Park,2012,5,71,6816
Carlsbad Caverns National Park,2013,2,1,141
Carlsbad Caverns National Park,2013,4,12,1249
Carlsbad Caverns National Park,2013,5,74,6256
Carlsbad Caverns National Park,2014,3,1,12
Carlsbad Caverns National Park,2014,4,10,491
Carlsbad Caverns National Park,2014,5,84,5489
Carlsbad Caverns National Park,2015,2,1,43
Carlsbad Caverns National Park,2015,3,1,136
Carlsbad Caverns National Park,2015,4,17,965
Carlsbad Caverns National Park,2015,5,137,11477
Carlsbad Caverns National Park,2016,3,1,122
Carlsbad Caverns National Park,2016,4,14,809
Carlsbad Caverns National Park,2016,5,124,8114
Carlsbad Caverns National Park,2017,4,9,806
Carlsbad Caverns National Park,2017,5,130,16521
Carlsbad Caverns National Park,2018,4,7,1031
Carlsbad Caverns National Park,2018,5,81,8151
