park,visit,drive,hiking,miss,taking,inspiring,loved,crowded,stop,hikes,ride,missed,seen,walk,spend,perfect,visiting,describe,enjoy,need,hidden,going,got,seeing,bring,spending,average_spend
Acadia National Park,0.0571428571428571,0.0531914893617021,0.03125,0.0263157894736842,0.0526315789473684,0,0.0476190476190476,0.024390243902439,0,0.037037037037037,0.0454545454545455,0.0625,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0833333333333333,0,284459.8,0.0594059405940594
Acadia National Park,0.342857142857143,0.138297872340426,0.40625,0.210526315789474,0.184210526315789,0,0.285714285714286,0.219512195121951,0,0.0925925925925926,0.181818181818182,0.0625,0.0454545454545455,0.153846153846154,0.0454545454545455,0.416666666666667,0,0,0.181818181818182,0.333333333333333,0,0.0555555555555556,0,0.0833333333333333,0,387654,0.0891089108910891
Arches National Park,0.323809523809524,0.0212765957446809,0.21875,0.315789473684211,0.157894736842105,0.131578947368421,0.19047619047619,0.0731707317073171,0.0416666666666667,0.0925925925925926,0,0.5,0.0454545454545455,0.153846153846154,0.181818181818182,0,0.2,0.0303030303030303,0.272727272727273,0.0833333333333333,0,0,0.0833333333333333,0,0.333333333333333,162718.2,0.099009900990099
Arches National Park,1,0.191489361702128,1,1,0.394736842105263,0.5,0.952380952380952,0.707317073170732,0.5,1,0.0909090909090909,1,0.454545454545455,0.769230769230769,0.318181818181818,0.666666666666667,0.466666666666667,0.212121212121212,0.545454545454545,0.583333333333333,0.0769230769230769,0.111111111111111,0.25,0.25,0.416666666666667,188802.5,0.099009900990099
Arches National Park,0.80952380952381,0.24468085106383,0.8125,0.552631578947368,0.236842105263158,0.184210526315789,1,0.707317073170732,0.208333333333333,0.611111111111111,0.0454545454545455,0.8125,0.363636363636364,0.692307692307692,0.409090909090909,0.333333333333333,0.333333333333333,0.0909090909090909,0.272727272727273,0.5,0,0.222222222222222,0.333333333333333,0.333333333333333,0.25,182505.5,0.099009900990099
Arches National Park,0.580952380952381,0.159574468085106,0.515625,0.5,0.157894736842105,0.184210526315789,0.761904761904762,0.463414634146341,0.125,0.62962962962963,0,0.4375,0.0454545454545455,0.153846153846154,0.0909090909090909,0.25,0.133333333333333,0.121212121212121,0.363636363636364,0.166666666666667,0.0769230769230769,0.0555555555555556,0.25,0.416666666666667,0.5,200337,0.099009900990099
Badlands National Park,0.0761904761904762,0.0851063829787234,0.03125,0.131578947368421,0,0.0526315789473684,0.0952380952380952,0,0.0833333333333333,0.0185185185185185,0,0.0625,0,0.0769230769230769,0,0,0.0666666666666667,0,0.0909090909090909,0.0833333333333333,0,0,0.0833333333333333,0,0,63746.6,0.0396039603960396
Badlands National Park,0.0666666666666667,0.106382978723404,0.015625,0.236842105263158,0.0789473684210526,0.0263157894736842,0.19047619047619,0.024390243902439,0.0833333333333333,0,0,0,0,0,0.0909090909090909,0,0,0.0303030303030303,0,0,0,0,0,0,0,66005.9,0.0396039603960396
Badlands National Park,0.0571428571428571,0.148936170212766,0.046875,0.0789473684210526,0.0789473684210526,0.0263157894736842,0,0,0.0416666666666667,0,0.0454545454545455,0.125,0,0.0769230769230769,0.0909090909090909,0.0833333333333333,0,0.0606060606060606,0,0,0.0769230769230769,0,0.0833333333333333,0,0,65840,0.0495049504950495
Biscayne National Park,0.019047619047619,0,0,0,0,0,0.0952380952380952,0,0,0,0.0454545454545455,0,0,0.153846153846154,0.0454545454545455,0,0.0666666666666667,0,0,0,0.0769230769230769,0.0555555555555556,0.0833333333333333,0,0.0833333333333333,33004.1,0.0396039603960396
Biscayne National Park,0.0285714285714286,0.0106382978723404,0,0.0526315789473684,0,0,0,0,0,0,0.0909090909090909,0,0,0.0769230769230769,0.0454545454545455,0,0.0666666666666667,0,0.0909090909090909,0.0833333333333333,0,0,0,0,0,27986.7,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.0571428571428571,0.0212765957446809,0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0,0,0.0416666666666667,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0.0769230769230769,0,0,0.0833333333333333,0.0833333333333333,11027.6,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.019047619047619,0.0212765957446809,0,0.0263157894736842,0,0.0526315789473684,0,0,0.0416666666666667,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,10297.1,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.0571428571428571,0,0.015625,0.0263157894736842,0,0.0526315789473684,0.0476190476190476,0.024390243902439,0.0416666666666667,0.0185185185185185,0,0,0,0,0,0,0.0666666666666667,0,0,0,0.153846153846154,0,0,0.0833333333333333,0.0833333333333333,10948.4,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.0571428571428571,0.0106382978723404,0.015625,0,0.0789473684210526,0,0,0,0,0,0.0454545454545455,0,0,0.0769230769230769,0,0.0833333333333333,0,0,0,0,0.461538461538462,0,0,0,0,12723.9,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.104761904761905,0.0638297872340425,0.015625,0.0526315789473684,0,0.0263157894736842,0.0952380952380952,0,0.125,0.0185185185185185,0,0.125,0,0,0,0,0,0,0,0,0.461538461538462,0,0,0,0,14616.1,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.0476190476190476,0,0,0.0263157894736842,0,0,0,0,0.125,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0833333333333333,0.230769230769231,0.0555555555555556,0,0,0,18656.5,0.0396039603960396
Black Canyon Of The Gunnison National Park,0.019047619047619,0.0106382978723404,0.03125,0.0526315789473684,0,0.0263157894736842,0,0,0.0416666666666667,0,0,0.0625,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0,0,19315,0.0396039603960396
Bryce Canyon National Park,0.0476190476190476,0.0531914893617021,0.125,0.184210526315789,0.0263157894736842,0.0526315789473684,0.142857142857143,0.024390243902439,0,0.0555555555555556,0.0454545454545455,0.125,0.136363636363636,0.230769230769231,0,0,0.0666666666666667,0,0,0,0.0769230769230769,0.0555555555555556,0,0.0833333333333333,0,108946.2,0.0594059405940594
Bryce Canyon National Park,0.0952380952380952,0.0319148936170213,0.125,0.236842105263158,0.184210526315789,0.131578947368421,0.142857142857143,0,0,0.037037037037037,0.0454545454545455,0.3125,0.227272727272727,0,0,0.0833333333333333,0,0.0909090909090909,0,0.0833333333333333,0,0.111111111111111,0.0833333333333333,0.0833333333333333,0.0833333333333333,105745.8,0.0594059405940594
Bryce Canyon National Park,0.0952380952380952,0.117021276595745,0.15625,0.289473684210526,0.236842105263158,0.210526315789474,0,0.0975609756097561,0.0833333333333333,0.0925925925925926,0.181818181818182,0.3125,0.545454545454545,0.153846153846154,0.0454545454545455,0.25,0.0666666666666667,0.151515151515152,0,0.0833333333333333,0,0,0.166666666666667,0,0.0833333333333333,117882.8,0.0594059405940594
Bryce Canyon National Park,0.266666666666667,0.074468085106383,0.28125,0.315789473684211,0.342105263157895,0.289473684210526,0.476190476190476,0.024390243902439,0.125,0.0925925925925926,0.181818181818182,0.1875,0.272727272727273,0.538461538461538,0.0909090909090909,0.25,0.133333333333333,0.181818181818182,0.363636363636364,0,0.0769230769230769,0.0555555555555556,0.0833333333333333,0,0,145879.8,0.0594059405940594
