park,word,pos,tfidf
Acadia National Park,cadillac,NOUN,0.147282962509
Acadia National Park,jordan,NOUN,0.133266955156
Acadia National Park,schoodic,ADJ,0.0402098571593
Acadia National Park,popovers,NOUN,0.0356144449125
Acadia National Park,carriage,NOUN,0.0311466830059
Acadia National Park,gorham,NOUN,0.0287213265423
Acadia National Park,harbor,VERB,0.0266263591945
Acadia National Park,beautiful,ADJ,0.0201049285796
Acadia National Park,pond,NOUN,0.0187033278444
Acadia National Park,jordon,NOUN,0.0172327959254
Acadia National Park,hulls,NOUN,0.0160839428637
Acadia National Park,mountain,NOUN,0.0158361510269
Acadia National Park,oli,X,0.014935089802
Acadia National Park,beehive,VERB,0.0144755485773
Acadia National Park,views,NOUN,0.0140393738556
Acadia National Park,popover,ADV,0.0126373836786
Acadia National Park,great,ADJ,0.0123501704132
Acadia National Park,lobster,NOUN,0.0122544326581
Acadia National Park,beach,NOUN,0.0116526524829
Acadia National Park,trails,NOUN,0.0109846476951
Acadia National Park,day,NOUN,0.0109043680432
Acadia National Park,mdi,NOUN,0.0103396775552
Acadia National Park,cadilac,NOUN,0.0103396775552
Acadia National Park,blackwoods,NOUN,0.0103396775552
Acadia National Park,maine,NOUN,0.00959630204473
American Samoa National Park,pago,ADJ,1.03753690426
American Samoa National Park,ofu,INTJ,0.253057781527
American Samoa National Park,vatia,NOUN,0.126528890763
American Samoa National Park,pola,NOUN,0.126528890763
American Samoa National Park,tutuila,VERB,0.101223112611
American Samoa National Park,samoan,ADJ,0.075917334458
American Samoa National Park,alava,ADV,0.075917334458
American Samoa National Park,pai,X,0.0506115563054
American Samoa National Park,dengue,NOUN,0.037958667229
American Samoa National Park,island,NOUN,0.0316322226908
American Samoa National Park,zika,X,0.0253057781527
American Samoa National Park,youtip,NOUN,0.0253057781527
American Samoa National Park,wobbles,NOUN,0.0253057781527
American Samoa National Park,vaoto,NOUN,0.0253057781527
American Samoa National Park,unforgettablerm,X,0.0253057781527
American Samoa National Park,tutulia,NOUN,0.0253057781527
American Samoa National Park,tumu,NOUN,0.0253057781527
American Samoa National Park,to.-,NOUN,0.0253057781527
American Samoa National Park,thenational,ADJ,0.0253057781527
American Samoa National Park,regret-,NOUN,0.0253057781527
American Samoa National Park,polu,NOUN,0.0253057781527
American Samoa National Park,passersby,X,0.0253057781527
American Samoa National Park,paleotropical,ADJ,0.0253057781527
American Samoa National Park,outiftter,NOUN,0.0253057781527
American Samoa National Park,onebut,NOUN,0.0253057781527
Arches National Park,delicate,ADJ,0.0424732385961
Arches National Park,furnace,VERB,0.0321592712775
Arches National Park,turret,NOUN,0.0271033033705
Arches National Park,moab,X,0.0256113784143
Arches National Park,hike,INTJ,0.0172814640757
Arches National Park,fiery,ADV,0.0134273246056
Arches National Park,beautiful,ADJ,0.0130543433665
Arches National Park,day,NOUN,0.0116909599673
Arches National Park,amazing,ADJ,0.0114212334216
Arches National Park,great,ADJ,0.0113448460209
Arches National Park,time,NOUN,0.0110393872476
Arches National Park,hikes,VERB,0.00974816398834
Arches National Park,hiking,VERB,0.00869401507199
Arches National Park,water,NOUN,0.0086000042014
Arches National Park,early,ADV,0.00840189317425
Arches National Park,visit,VERB,0.00836306822656
Arches National Park,rock,NOUN,0.00829644166334
Arches National Park,gossips,NOUN,0.00820558725896
Arches National Park,place,NOUN,0.00794850414504
Arches National Park,worth,ADJ,0.00790120027078
Arches National Park,dune,NOUN,0.00735305871258
Arches National Park,partition,NOUN,0.00683798938247
Arches National Park,canyonlands,NOUN,0.00678147707352
Arches National Park,balanced,VERB,0.00673626722636
Arches National Park,trails,NOUN,0.00672238701013
Badlands National Park,reifel,NOUN,0.0587504236809
Badlands National Park,minuteman,NOUN,0.0225963168004
Badlands National Park,prairie,NOUN,0.0217489549203
Badlands National Park,dakota,VERB,0.0195834745603
Badlands National Park,bison,NOUN,0.0165126930464
Badlands National Park,drive,VERB,0.0143648013945
Badlands National Park,sheep,NOUN,0.0131681984112
Badlands National Park,fossil,NOUN,0.0128045795202
Badlands National Park,sage,NOUN,0.0124279742402
Badlands National Park,beautiful,ADJ,0.0120513689602
Badlands National Park,amazing,ADJ,0.0118726410307
Badlands National Park,road,NOUN,0.0115806123602
Badlands National Park,time,NOUN,0.0113371175671
Badlands National Park,i-90,PROPN,0.0108462320642
Badlands National Park,great,ADJ,0.0101683425602
Badlands National Park,loop,NOUN,0.0100191216002
Badlands National Park,bighorn,VERB,0.00936133124586
Badlands National Park,kadoka,NOUN,0.00903852672014
Badlands National Park,views,NOUN,0.00888533135201
Badlands National Park,day,NOUN,0.0087704348259
Badlands National Park,saw,VERB,0.00831084872149
Badlands National Park,horn,NOUN,0.00795783330795
Badlands National Park,pinnacles,NOUN,0.00790871088013
Badlands National Park,place,NOUN,0.00785126261707
Badlands National Park,dogs,NOUN,0.00757918126012
Big Bend National Park,chisos,NOUN,1.25079365079
Big Bend National Park,emory,NOUN,0.126984126984
Big Bend National Park,terlingua,NOUN,0.0444444444444
Big Bend National Park,elena,NOUN,0.0349206349206
Big Bend National Park,mountains,NOUN,0.0261437908497
Big Bend National Park,tm1,NOUN,0.0253968253968
Big Bend National Park,basin,NOUN,0.0222222222222
Big Bend National Park,ringtail,NOUN,0.0190476190476
Big Bend National Park,rio,NOUN,0.018253968254
Big Bend National Park,chihuahuan,NOUN,0.0169312169312
Big Bend National Park,panther,NOUN,0.015873015873
Big Bend National Park,laguna,NOUN,0.015873015873
Big Bend National Park,beautiful,ADJ,0.0151322751323
Big Bend National Park,desert,NOUN,0.0148148148148
Big Bend National Park,great,ADJ,0.0142857142857
Big Bend National Park,lodge,NOUN,0.0131216931217
Big Bend National Park,mountain,NOUN,0.0126984126984
Big Bend National Park,sotols,VERB,0.0126984126984
Big Bend National Park,pulliam,NOUN,0.0126984126984
Big Bend National Park,boquillos,VERB,0.0126984126984
Big Bend National Park,boquillas,NOUN,0.0126984126984
Big Bend National Park,views,NOUN,0.0125907990315
Big Bend National Park,trail,NOUN,0.0125889436234
Big Bend National Park,texas,NOUN,0.0123015873016
Big Bend National Park,grande,NOUN,0.00997732426304
Biscayne National Park,chita,X,0.340413151004
Biscayne National Park,boca,NOUN,0.174570846669
Biscayne National Park,fascell,INTJ,0.100378236834
Biscayne National Park,mangroves,NOUN,0.0523712540006
Biscayne National Park,boat,NOUN,0.0385510619727
Biscayne National Park,miami,NOUN,0.0340413151004
Biscayne National Park,elliott,NOUN,0.030549898167
Biscayne National Park,snorkeling,NOUN,0.0285661385458
Biscayne National Park,snorkel,NOUN,0.0261856270003
Biscayne National Park,bayfront,NOUN,0.0261856270003
Biscayne National Park,manatees,NOUN,0.0232761128891
Biscayne National Park,mangrove,NOUN,0.0226942100669
Biscayne National Park,lighthouse,NOUN,0.0214246039093
Biscayne National Park,dante,NOUN,0.0209485016002
Biscayne National Park,manatee,NOUN,0.0174570846669
Biscayne National Park,elliot,VERB,0.0174570846669
Biscayne National Park,keys,NOUN,0.0168751818446
Biscayne National Park,water,NOUN,0.0166293780663
Biscayne National Park,jetty,INTJ,0.0165842304335
Biscayne National Park,center,NOUN,0.0152379637346
Biscayne National Park,bay,NOUN,0.0144020948502
Biscayne National Park,great,ADJ,0.013638347396
Biscayne National Park,seahorse,NOUN,0.0130928135001
Biscayne National Park,paddleboarding,VERB,0.0130928135001
Biscayne National Park,matanzas,NOUN,0.0130928135001
Black Canyon Of The Gunnison National Park,montrose,NOUN,0.0688876667921
Black Canyon Of The Gunnison National Park,rim,NOUN,0.0374281006187
Black Canyon Of The Gunnison National Park,crawford,NOUN,0.0312599496367
Black Canyon Of The Gunnison National Park,tomichi,INTJ,0.029523285768
Black Canyon Of The Gunnison National Park,warner,NOUN,0.0283655098556
Black Canyon Of The Gunnison National Park,morrow,VERB,0.0225766302932
Black Canyon Of The Gunnison National Park,portal,ADJ,0.0195994922326
Black Canyon Of The Gunnison National Park,curecanti,X,0.0191033025558
Black Canyon Of The Gunnison National Park,views,NOUN,0.0159831945883
Black Canyon Of The Gunnison National Park,drive,VERB,0.0128389078865
Black Canyon Of The Gunnison National Park,south,ADV,0.0119395640974
Black Canyon Of The Gunnison National Park,river,NOUN,0.011878780862
Black Canyon Of The Gunnison National Park,road,NOUN,0.0110402203082
Black Canyon Of The Gunnison National Park,center,NOUN,0.00956636876831
Black Canyon Of The Gunnison National Park,time,NOUN,0.00940193887542
Black Canyon Of The Gunnison National Park,pulpit,NOUN,0.00926220729978
Black Canyon Of The Gunnison National Park,beautiful,ADJ,0.00920431850415
Black Canyon Of The Gunnison National Park,great,ADJ,0.00877635490794
Black Canyon Of The Gunnison National Park,worth,ADJ,0.00853360694107
Black Canyon Of The Gunnison National Park,visit,VERB,0.00819126458074
Black Canyon Of The Gunnison National Park,amazing,ADJ,0.00815348968868
Black Canyon Of The Gunnison National Park,visitor,NOUN,0.00791800984208
Black Canyon Of The Gunnison National Park,view,NOUN,0.0077251599677
Black Canyon Of The Gunnison National Park,grand,ADJ,0.00759364789651
Black Canyon Of The Gunnison National Park,overlooks,NOUN,0.00757816960891
Bryce Canyon National Park,hoodoos,NOUN,0.0426313390403
Bryce Canyon National Park,navajo,NOUN,0.0323522592238
Bryce Canyon National Park,queens,VERB,0.0307219662058
Bryce Canyon National Park,hoodoo,ADJ,0.0195152112377
Bryce Canyon National Park,peekaboo,VERB,0.0184041967365
Bryce Canyon National Park,thor,NOUN,0.0176796220618
Bryce Canyon National Park,point,NOUN,0.012788107416
Bryce Canyon National Park,beautiful,ADJ,0.011926499145
Bryce Canyon National Park,rim,NOUN,0.0117331126629
Bryce Canyon National Park,yovimpa,INTJ,0.0113033649248
Bryce Canyon National Park,bristlecone,ADV,0.0111584499899
Bryce Canyon National Park,zion,NOUN,0.010854596094
Bryce Canyon National Park,views,NOUN,0.0104338753152
Bryce Canyon National Park,amazing,ADJ,0.0101587825574
Bryce Canyon National Park,hike,INTJ,0.0101240571784
Bryce Canyon National Park,trail,NOUN,0.00992917157628
Bryce Canyon National Park,fairyland,NOUN,0.00956438570559
Bryce Canyon National Park,day,NOUN,0.00952999911086
Bryce Canyon National Park,time,NOUN,0.00942446783738
Bryce Canyon National Park,shuttle,NOUN,0.00925699038907
Bryce Canyon National Park,great,ADJ,0.00849305029376
Bryce Canyon National Park,place,NOUN,0.00832646829531
Bryce Canyon National Park,ruby,VERB,0.00757698088365
