park,word,pos,tfidf
Acadia National Park,schoodic,ADJ,0.217413810954
Acadia National Park,beautiful,ADJ,0.0715394968423
Acadia National Park,popover,ADV,0.0683300548711
Acadia National Park,great,ADJ,0.0539097510834
Acadia National Park,27-mile,ADJ,0.0372709390206
Acadia National Park,llbean,ADJ,0.0310591158505
Acadia National Park,cadallic,ADJ,0.0248472926804
Acadia National Park,amazing,ADJ,0.024320866988
Acadia National Park,worth,ADJ,0.0221228088339
Acadia National Park,easy,ADJ,0.0199206743041
Acadia National Park,good,ADJ,0.0190638711082
Acadia National Park,pemetic,ADJ,0.0186354695103
Acadia National Park,early,ADV,0.0178726140333
Acadia National Park,wonderful,ADJ,0.0168147627191
Acadia National Park,nice,ADJ,0.0168147627191
Acadia National Park,atlantic,ADJ,0.0152472023266
Acadia National Park,ellsworth,ADV,0.0144942540636
Acadia National Park,best,ADJ,0.013708851134
Acadia National Park,sure,ADJ,0.0136224192327
Acadia National Park,little,ADJ,0.0128673479952
Acadia National Park,spectacular,ADJ,0.0126378471392
Acadia National Park,hive,ADJ,0.0124236463402
Acadia National Park,free,ADJ,0.0124236463402
Acadia National Park,definitely,ADV,0.0112455419459
Acadia National Park,gorgeous,ADJ,0.0106488397202
American Samoa National Park,pago,ADJ,3.86086956522
American Samoa National Park,samoan,ADJ,0.313043478261
American Samoa National Park,alava,ADV,0.313043478261
American Samoa National Park,thenational,ADJ,0.104347826087
American Samoa National Park,paleotropical,ADJ,0.104347826087
American Samoa National Park,inelegant,ADJ,0.104347826087
American Samoa National Park,ava,ADV,0.104347826087
American Samoa National Park,59th,ADJ,0.0695652173913
American Samoa National Park,beautiful,ADJ,0.0434782608696
American Samoa National Park,great,ADJ,0.0372670807453
American Samoa National Park,windward,ADJ,0.0347826086957
American Samoa National Park,naval,ADJ,0.0347826086957
American Samoa National Park,distinguishable,ADJ,0.0347826086957
American Samoa National Park,58th,ADJ,0.0347826086957
American Samoa National Park,tropical,ADJ,0.0332015810277
American Samoa National Park,helpful,ADJ,0.0274599542334
American Samoa National Park,sunhat,ADJ,0.0260869565217
American Samoa National Park,nice,ADJ,0.0251874062969
American Samoa National Park,unimproved,ADJ,0.0208695652174
American Samoa National Park,lax,ADJ,0.0208695652174
American Samoa National Park,local,ADJ,0.0200668896321
American Samoa National Park,good,ADJ,0.0197901049475
American Samoa National Park,coral,ADJ,0.0195652173913
American Samoa National Park,worth,ADJ,0.0183066361556
American Samoa National Park,cultural,ADJ,0.0173913043478
Arches National Park,delicate,ADJ,0.16591998333
Arches National Park,fiery,ADV,0.0509034620308
Arches National Park,beautiful,ADJ,0.0378203792457
Arches National Park,great,ADJ,0.03722873813
Arches National Park,early,ADV,0.0328467553547
Arches National Park,amazing,ADJ,0.0320864869447
Arches National Park,worth,ADJ,0.0305253652991
Arches National Park,easy,ADJ,0.0239094351553
Arches National Park,utah,ADJ,0.0197957907897
Arches National Park,double,ADJ,0.0190918152994
Arches National Park,short,ADJ,0.018825761114
Arches National Park,hot,ADJ,0.0184132912305
Arches National Park,good,ADJ,0.0183946368137
Arches National Park,sure,ADJ,0.0154454692681
Arches National Park,long,ADV,0.0142450654231
Arches National Park,best,ADJ,0.0141732113731
Arches National Park,little,ADJ,0.0112932753848
Arches National Park,spectacular,ADJ,0.0106164358954
Arches National Park,able,ADJ,0.0102212386201
Arches National Park,definitely,ADV,0.0102032751076
Arches National Park,nice,ADJ,0.0099338224199
Arches National Park,different,ADJ,0.00991585890739
Arches National Park,navtec,ADJ,0.00937695353199
Arches National Park,close,ADJ,0.00904793761858
Arches National Park,busy,ADJ,0.00872095266761
Badlands National Park,beautiful,ADJ,0.0431050925043
Badlands National Park,amazing,ADJ,0.0417020918933
Badlands National Park,great,ADJ,0.0412795291681
Badlands National Park,i90,ADJ,0.028609574671
Badlands National Park,worth,ADJ,0.0275053454732
Badlands National Park,scenic,ADJ,0.0241360775406
Badlands National Park,unsalted,ADJ,0.0228876597368
Badlands National Park,south,ADV,0.0214571810032
Badlands National Park,big,ADJ,0.0205988937631
Badlands National Park,sure,ADJ,0.0198761255609
Badlands National Park,rapid,ADJ,0.0174145237128
Badlands National Park,short,ADJ,0.0163765151565
Badlands National Park,good,ADJ,0.0159819003334
Badlands National Park,different,ADJ,0.0153899780989
Badlands National Park,hot,ADJ,0.0138646400329
Badlands National Park,unique,ADJ,0.0122761084043
Badlands National Park,early,ADV,0.0122469056486
Badlands National Park,interesting,ADJ,0.0116445988135
Badlands National Park,nice,ADJ,0.0114438298684
Badlands National Park,windy--50,ADV,0.0114438298684
Badlands National Park,wewere,ADV,0.0114438298684
Badlands National Park,unrealisticlty,ADJ,0.0114438298684
Badlands National Park,subtlely,ADV,0.0114438298684
Badlands National Park,sliw,ADV,0.0114438298684
Badlands National Park,scinic,ADJ,0.0114438298684
Big Bend National Park,great,ADJ,0.0586209565083
Big Bend National Park,beautiful,ADJ,0.0514626218852
Big Bend National Park,placewhere,ADJ,0.032502708559
Big Bend National Park,mariscal,ADJ,0.032502708559
Big Bend National Park,lusciously,ADV,0.032502708559
Big Bend National Park,itgrab,ADJ,0.032502708559
Big Bend National Park,.really,ADV,0.032502708559
Big Bend National Park,amazing,ADJ,0.0280955616358
Big Bend National Park,worth,ADJ,0.0262302560301
Big Bend National Park,good,ADJ,0.0240968356558
Big Bend National Park,nice,ADJ,0.0201740949677
Big Bend National Park,undeserving,ADJ,0.0162513542795
Big Bend National Park,texan,ADJ,0.0162513542795
Big Bend National Park,superb-,ADJ,0.0162513542795
Big Bend National Park,south,ADV,0.0162513542795
Big Bend National Park,homely,ADV,0.0162513542795
Big Bend National Park,everywhere-,ADV,0.0162513542795
Big Bend National Park,best,ADJ,0.0162513542795
Big Bend National Park,easy,ADJ,0.0156909627526
Big Bend National Park,different,ADJ,0.0156909627526
Big Bend National Park,sure,ADJ,0.0148257968866
Big Bend National Park,hot,ADJ,0.0131260938412
Big Bend National Park,spectacular,ADJ,0.0123286135914
Big Bend National Park,away,ADV,0.0114044591435
Big Bend National Park,wonderful,ADJ,0.0112078305376
Biscayne National Park,great,ADJ,0.056326060739
Biscayne National Park,coral,ADJ,0.0561204911742
Biscayne National Park,key,ADJ,0.0514019525603
Biscayne National Park,nice,ADJ,0.04644454442
Biscayne National Park,underwater,ADV,0.044768482988
Biscayne National Park,ornamental,ADJ,0.0345356868764
Biscayne National Park,denise,ADV,0.0345356868764
Biscayne National Park,beautiful,ADJ,0.0310821181888
Biscayne National Park,small,ADJ,0.0302944621723
Biscayne National Park,sureworth,ADJ,0.023023791251
Biscayne National Park,sandwicherie,ADJ,0.023023791251
Biscayne National Park,ofdiverse,ADJ,0.023023791251
Biscayne National Park,institute-,ADJ,0.023023791251
Biscayne National Park,in.•,ADJ,0.023023791251
Biscayne National Park,doral,ADJ,0.023023791251
Biscayne National Park,bankrupt,ADJ,0.023023791251
Biscayne National Park,adversely,ADV,0.023023791251
Biscayne National Park,87th,ADJ,0.023023791251
Biscayne National Park,friendly,ADJ,0.0197346782151
Biscayne National Park,nuclear,ADJ,0.0172678434382
Biscayne National Park,good,ADJ,0.0170693624792
Biscayne National Park,worth,ADJ,0.0157531203296
Biscayne National Park,interesting,ADJ,0.0157531203296
Biscayne National Park,informative,ADJ,0.0156232869203
Biscayne National Park,snapper,ADJ,0.0153491941673
Black Canyon Of The Gunnison National Park,portal,ADJ,0.0970632155301
Black Canyon Of The Gunnison National Park,south,ADV,0.0505315366565
Black Canyon Of The Gunnison National Park,worth,ADJ,0.0320924261874
Black Canyon Of The Gunnison National Park,great,ADJ,0.0302655905568
Black Canyon Of The Gunnison National Park,beautiful,ADJ,0.0288700846192
Black Canyon Of The Gunnison National Park,grand,ADJ,0.0281088044974
Black Canyon Of The Gunnison National Park,amazing,ADJ,0.0256894820764
Black Canyon Of The Gunnison National Park,ridgway,ADV,0.0223992035839
Black Canyon Of The Gunnison National Park,craggiest,ADJ,0.0223992035839
Black Canyon Of The Gunnison National Park,short,ADJ,0.0214980861983
Black Canyon Of The Gunnison National Park,nice,ADJ,0.0169924992705
Black Canyon Of The Gunnison National Park,deep,ADJ,0.0165432026469
Black Canyon Of The Gunnison National Park,steep,ADJ,0.0164260826282
Black Canyon Of The Gunnison National Park,good,ADJ,0.0159626508299
Black Canyon Of The Gunnison National Park,spectacular,ADJ,0.0155764576646
Black Canyon Of The Gunnison National Park,east,ADV,0.0155184024829
Black Canyon Of The Gunnison National Park,different,ADJ,0.0154477266096
Black Canyon Of The Gunnison National Park,us50e,ADJ,0.0149328023892
Black Canyon Of The Gunnison National Park,irrigate,ADJ,0.0149328023892
Black Canyon Of The Gunnison National Park,sure,ADJ,0.0146708234
Black Canyon Of The Gunnison National Park,easy,ADJ,0.014546609224
Black Canyon Of The Gunnison National Park,little,ADJ,0.012266230534
Black Canyon Of The Gunnison National Park,long,ADV,0.0108134086267
Black Canyon Of The Gunnison National Park,durango,ADJ,0.0102663016426
Black Canyon Of The Gunnison National Park,sheer,ADJ,0.00976375540835
Bryce Canyon National Park,hoodoo,ADJ,0.0693881229161
Bryce Canyon National Park,bristlecone,ADV,0.0520410921871
Bryce Canyon National Park,beautiful,ADJ,0.0404839145715
Bryce Canyon National Park,amazing,ADJ,0.0343427678576
Bryce Canyon National Park,great,ADJ,0.0332618854517
Bryce Canyon National Park,utah,ADJ,0.0247284639728
Bryce Canyon National Park,worth,ADJ,0.0230266122186
Bryce Canyon National Park,different,ADJ,0.0214410232029
Bryce Canyon National Park,grand,ADJ,0.0212564074021
Bryce Canyon National Park,best,ADJ,0.0189939499026
Bryce Canyon National Park,spectacular,ADJ,0.0179452042024
Bryce Canyon National Park,easy,ADJ,0.0172227349423
Bryce Canyon National Park,navaho,ADV,0.0171217446157
Bryce Canyon National Park,good,ADJ,0.0166867093623
Bryce Canyon National Park,sure,ADJ,0.0136357384405
Bryce Canyon National Park,early,ADV,0.0132800235246
Bryce Canyon National Park,amphitheatre,ADV,0.0128413084617
Bryce Canyon National Park,red,ADJ,0.0121354119732
Bryce Canyon National Park,scenic,ADJ,0.0115264567819
Bryce Canyon National Park,stunning,ADJ,0.0114777346177
Bryce Canyon National Park,nice,ADJ,0.0112332317215
Bryce Canyon National Park,short,ADJ,0.0110467880415
Bryce Canyon National Park,definitely,ADV,0.0108603443615
Bryce Canyon National Park,unique,ADJ,0.01066627344
