park,word,pos,tfidf
Acadia National Park,cadillac,NOUN,0.151827324013
Acadia National Park,jordan,NOUN,0.139399885537
Acadia National Park,schoodic,ADJ,0.0429237184204
Acadia National Park,popovers,NOUN,0.0380181506009
Acadia National Park,jordon,NOUN,0.0367917586461
Acadia National Park,carriage,NOUN,0.0322949881449
Acadia National Park,gorham,NOUN,0.0294334069169
Acadia National Park,harbor,VERB,0.02726918582
Acadia National Park,pond,NOUN,0.0196222712779
Acadia National Park,beehive,VERB,0.018395879323
Acadia National Park,hulls,NOUN,0.0171694873682
Acadia National Park,mountain,NOUN,0.016472127237
Acadia National Park,oli,X,0.0159430954133
Acadia National Park,beautiful,ADJ,0.0141239473469
Acadia National Park,popover,ADV,0.0134903115036
Acadia National Park,lobster,NOUN,0.0130815141853
Acadia National Park,views,NOUN,0.0127925367706
Acadia National Park,beach,NOUN,0.0121938400084
Acadia National Park,trails,NOUN,0.0112096527805
Acadia National Park,mdi,NOUN,0.0110375275938
Acadia National Park,cadilac,NOUN,0.0110375275938
Acadia National Park,blackwoods,NOUN,0.0110375275938
Acadia National Park,day,NOUN,0.0108920234636
Acadia National Park,great,ADJ,0.0106433301798
Acadia National Park,thunderhole,NOUN,0.00981113563895
American Samoa National Park,pago,ADJ,1.02068965517
American Samoa National Park,ofu,INTJ,0.275862068966
American Samoa National Park,vatia,NOUN,0.137931034483
American Samoa National Park,pola,NOUN,0.137931034483
American Samoa National Park,tutuila,VERB,0.110344827586
American Samoa National Park,samoan,ADJ,0.0827586206897
American Samoa National Park,alava,ADV,0.0827586206897
American Samoa National Park,pai,X,0.0551724137931
American Samoa National Park,dengue,NOUN,0.0413793103448
American Samoa National Park,island,NOUN,0.0310344827586
American Samoa National Park,zika,X,0.0275862068966
American Samoa National Park,youtip,NOUN,0.0275862068966
American Samoa National Park,wobbles,NOUN,0.0275862068966
American Samoa National Park,vaoto,NOUN,0.0275862068966
American Samoa National Park,tutulia,NOUN,0.0275862068966
American Samoa National Park,tumu,NOUN,0.0275862068966
American Samoa National Park,to.-,NOUN,0.0275862068966
American Samoa National Park,thenational,ADJ,0.0275862068966
American Samoa National Park,regret-,NOUN,0.0275862068966
American Samoa National Park,polu,NOUN,0.0275862068966
American Samoa National Park,passersby,X,0.0275862068966
American Samoa National Park,paleotropical,ADJ,0.0275862068966
American Samoa National Park,outiftter,NOUN,0.0275862068966
American Samoa National Park,onebut,NOUN,0.0275862068966
American Samoa National Park,olesega,VERB,0.0275862068966
Arches National Park,delicate,ADJ,0.0425570768121
Arches National Park,furnace,VERB,0.0313555019107
Arches National Park,turret,NOUN,0.0288613142587
Arches National Park,moab,X,0.0251868413786
Arches National Park,hike,INTJ,0.0176006099087
Arches National Park,fiery,ADV,0.0130563088313
Arches National Park,day,NOUN,0.0117945483882
Arches National Park,time,NOUN,0.0113252092031
Arches National Park,hikes,VERB,0.00978869677705
Arches National Park,beautiful,ADJ,0.00970060840363
Arches National Park,great,ADJ,0.00954885744572
Arches National Park,water,NOUN,0.00911822173021
Arches National Park,dune,NOUN,0.00908596930368
Arches National Park,gossips,NOUN,0.00881873491239
Arches National Park,hiking,VERB,0.00846560375248
Arches National Park,early,ADV,0.00842491580945
Arches National Park,amazing,ADJ,0.00822991337227
Arches National Park,rock,NOUN,0.00811981419672
Arches National Park,worth,ADJ,0.00782949883237
Arches National Park,visit,VERB,0.00754491764727
Arches National Park,balanced,VERB,0.00723962260026
Arches National Park,partition,NOUN,0.00721532856468
Arches National Park,place,NOUN,0.00716925366964
Arches National Park,trails,NOUN,0.00705123727179
Arches National Park,courthouse,NOUN,0.0069480941734
Badlands National Park,reifel,NOUN,0.0625050084141
Badlands National Park,minuteman,NOUN,0.0240403878516
Badlands National Park,prairie,NOUN,0.0229385367417
Badlands National Park,dakota,VERB,0.0176296177578
Badlands National Park,bison,NOUN,0.0173830496773
Badlands National Park,sheep,NOUN,0.0136781517087
Badlands National Park,fossil,NOUN,0.0136228864492
Badlands National Park,drive,VERB,0.0134797889025
Badlands National Park,sage,NOUN,0.0132222133184
Badlands National Park,road,NOUN,0.0119772646618
Badlands National Park,time,NOUN,0.0113984597572
Badlands National Park,i-90,PROPN,0.0110585784117
Badlands National Park,loop,NOUN,0.0102511842537
Badlands National Park,kadoka,NOUN,0.00961615514064
Badlands National Park,bighorn,VERB,0.00944443808455
Badlands National Park,beautiful,ADJ,0.00905521275743
Badlands National Park,saw,VERB,0.00884197315897
Badlands National Park,day,NOUN,0.00880122673889
Badlands National Park,amazing,ADJ,0.0087604803188
Badlands National Park,great,ADJ,0.00867171133218
Badlands National Park,horn,NOUN,0.00846639746078
Badlands National Park,pinnacles,NOUN,0.00841413574806
Badlands National Park,missile,NOUN,0.0080134626172
Badlands National Park,dogs,NOUN,0.0080134626172
Badlands National Park,center,NOUN,0.00774181981661
Big Bend National Park,chisos,NOUN,1.22630737611
Big Bend National Park,emory,NOUN,0.137017583923
Big Bend National Park,terlingua,NOUN,0.0479561543731
Big Bend National Park,elena,NOUN,0.0376798355789
Big Bend National Park,tm1,NOUN,0.0274035167847
Big Bend National Park,mountains,NOUN,0.0248512284567
Big Bend National Park,basin,NOUN,0.0216944507879
Big Bend National Park,ringtail,NOUN,0.0205526375885
Big Bend National Park,rio,NOUN,0.019696277689
Big Bend National Park,panther,NOUN,0.0171271979904
Big Bend National Park,laguna,NOUN,0.0171271979904
Big Bend National Park,sotols,VERB,0.0137017583923
Big Bend National Park,pulliam,NOUN,0.0137017583923
Big Bend National Park,chihuahuan,NOUN,0.0137017583923
Big Bend National Park,boquillos,VERB,0.0137017583923
Big Bend National Park,boquillas,NOUN,0.0137017583923
Big Bend National Park,desert,NOUN,0.0137017583923
Big Bend National Park,lodge,NOUN,0.0133972748725
Big Bend National Park,trail,NOUN,0.0131111653582
Big Bend National Park,great,ADJ,0.0123560499788
Big Bend National Park,mountain,NOUN,0.0119554558521
Big Bend National Park,beautiful,ADJ,0.0108472253939
Big Bend National Park,grande,NOUN,0.0107656673083
Big Bend National Park,views,NOUN,0.0107487932216
Big Bend National Park,texas,NOUN,0.00950283243339
Biscayne National Park,chita,X,0.359169711576
Biscayne National Park,boca,NOUN,0.184249397497
Biscayne National Park,fascell,INTJ,0.102619917593
Biscayne National Park,mangroves,NOUN,0.0559745005053
Biscayne National Park,boat,NOUN,0.0377050454793
Biscayne National Park,elliott,NOUN,0.0326517919614
Biscayne National Park,miami,NOUN,0.0298530669362
Biscayne National Park,snorkeling,NOUN,0.0275632010064
Biscayne National Park,snorkel,NOUN,0.0239890716451
Biscayne National Park,manatees,NOUN,0.0233227085439
Biscayne National Park,mangrove,NOUN,0.0233227085439
Biscayne National Park,bayfront,NOUN,0.0233227085439
Biscayne National Park,lighthouse,NOUN,0.0220505608051
Biscayne National Park,dante,NOUN,0.0214568918604
Biscayne National Park,elliot,VERB,0.0186581668351
Biscayne National Park,manatee,NOUN,0.0171033195988
Biscayne National Park,keys,NOUN,0.0167923501516
Biscayne National Park,jetty,INTJ,0.0167923501516
Biscayne National Park,water,NOUN,0.016084626582
Biscayne National Park,center,NOUN,0.0149423454739
Biscayne National Park,seahorse,NOUN,0.0139936251263
Biscayne National Park,paddleboarding,VERB,0.0139936251263
Biscayne National Park,matanzas,NOUN,0.0139936251263
Biscayne National Park,largo,NOUN,0.0139936251263
Biscayne National Park,everglades,NOUN,0.0139936251263
Black Canyon Of The Gunnison National Park,montrose,NOUN,0.0724237402566
Black Canyon Of The Gunnison National Park,rim,NOUN,0.0382859573712
Black Canyon Of The Gunnison National Park,crawford,NOUN,0.033143067575
Black Canyon Of The Gunnison National Park,tomichi,INTJ,0.0313017860431
Black Canyon Of The Gunnison National Park,warner,NOUN,0.0300742650218
Black Canyon Of The Gunnison National Park,portal,ADJ,0.0239366599153
