park,word,pos,tfidf
Acadia National Park,cadillac,NOUN,0.276596536958
Acadia National Park,jordan,NOUN,0.253956432694
Acadia National Park,popovers,NOUN,0.0692608452802
Acadia National Park,jordon,NOUN,0.0670266244647
Acadia National Park,carriage,NOUN,0.0588344814746
Acadia National Park,gorham,NOUN,0.0536212995718
Acadia National Park,pond,NOUN,0.0357475330478
Acadia National Park,hulls,NOUN,0.0312790914169
Acadia National Park,mountain,NOUN,0.0300086521296
Acadia National Park,oli,X,0.0290448706014
Acadia National Park,lobster,NOUN,0.0238316886986
Acadia National Park,views,NOUN,0.0233052343685
Acadia National Park,beach,NOUN,0.022214538394
Acadia National Park,trails,NOUN,0.0204215621907
Acadia National Park,mdi,NOUN,0.0201079873394
Acadia National Park,cadilac,NOUN,0.0201079873394
Acadia National Park,blackwoods,NOUN,0.0201079873394
Acadia National Park,day,NOUN,0.0198429102935
Acadia National Park,thunderhole,NOUN,0.0178737665239
Acadia National Park,time,NOUN,0.0169877824074
Acadia National Park,maine,NOUN,0.0164773785142
Acadia National Park,bar,NOUN,0.0156903234542
Acadia National Park,bangor,NOUN,0.0156395457084
Acadia National Park,thunder,NOUN,0.0155625036113
Acadia National Park,parking,NOUN,0.014315563003
American Samoa National Park,ofu,INTJ,0.535714285714
American Samoa National Park,vatia,NOUN,0.267857142857
American Samoa National Park,pola,NOUN,0.267857142857
American Samoa National Park,pai,X,0.107142857143
American Samoa National Park,dengue,NOUN,0.0803571428571
American Samoa National Park,island,NOUN,0.0602678571429
American Samoa National Park,zika,X,0.0535714285714
American Samoa National Park,youtip,NOUN,0.0535714285714
American Samoa National Park,wobbles,NOUN,0.0535714285714
American Samoa National Park,vaoto,NOUN,0.0535714285714
American Samoa National Park,tutulia,NOUN,0.0535714285714
American Samoa National Park,tumu,NOUN,0.0535714285714
American Samoa National Park,to.-,NOUN,0.0535714285714
American Samoa National Park,regret-,NOUN,0.0535714285714
American Samoa National Park,polu,NOUN,0.0535714285714
American Samoa National Park,passersby,X,0.0535714285714
American Samoa National Park,outiftter,NOUN,0.0535714285714
American Samoa National Park,onebut,NOUN,0.0535714285714
American Samoa National Park,machetes,NOUN,0.0535714285714
American Samoa National Park,hornets,NOUN,0.0535714285714
American Samoa National Park,gunneries,NOUN,0.0535714285714
American Samoa National Park,geta,NOUN,0.0535714285714
American Samoa National Park,flowerpot,NOUN,0.0535714285714
American Samoa National Park,fagotogo,NOUN,0.0535714285714
American Samoa National Park,eplore,NOUN,0.0535714285714
Arches National Park,turret,NOUN,0.0599433868014
Arches National Park,moab,X,0.0523117056114
Arches National Park,hike,INTJ,0.0365555136624
Arches National Park,day,NOUN,0.0244966382974
Arches National Park,time,NOUN,0.0235218462257
Arches National Park,water,NOUN,0.0189380527586
Arches National Park,dune,NOUN,0.0188710662152
Arches National Park,gossips,NOUN,0.018316034856
Arches National Park,rock,NOUN,0.0168644143779
Arches National Park,partition,NOUN,0.0149858467003
Arches National Park,place,NOUN,0.0148901516384
Arches National Park,trails,NOUN,0.014645037971
Arches National Park,courthouse,NOUN,0.0144308153411
Arches National Park,canyonlands,NOUN,0.0143803579448
Arches National Park,wolfe,NOUN,0.0138757839818
Arches National Park,formations,NOUN,0.0129507317163
Arches National Park,parking,NOUN,0.0120770712434
Arches National Park,views,NOUN,0.0116747975571
Arches National Park,trail,NOUN,0.0115408244704
Arches National Park,lots,NOUN,0.0111947002972
Arches National Park,windows,NOUN,0.0110579324655
Arches National Park,people,NOUN,0.0108085054174
Arches National Park,devils,NOUN,0.0104762169063
Arches National Park,devil,NOUN,0.0102534740581
Arches National Park,road,NOUN,0.0101491448553
Badlands National Park,reifel,NOUN,0.119586048294
Badlands National Park,minuteman,NOUN,0.0459946339594
Badlands National Park,prairie,NOUN,0.0438865465696
Badlands National Park,bison,NOUN,0.0332576584014
Badlands National Park,sheep,NOUN,0.026169360701
Badlands National Park,fossil,NOUN,0.0260636259103
Badlands National Park,sage,NOUN,0.0252970486777
Badlands National Park,road,NOUN,0.0229151837048
Badlands National Park,time,NOUN,0.0218078005842
Badlands National Park,loop,NOUN,0.0196128061789
Badlands National Park,kadoka,NOUN,0.0183978535837
Badlands National Park,day,NOUN,0.0168387134495
Badlands National Park,horn,NOUN,0.0161981102205
Badlands National Park,pinnacles,NOUN,0.0160981218858
Badlands National Park,missile,NOUN,0.0153315446531
Badlands National Park,dogs,NOUN,0.0153315446531
Badlands National Park,center,NOUN,0.0148118312751
Badlands National Park,views,NOUN,0.0146707022112
Badlands National Park,drug,NOUN,0.0144554563872
Badlands National Park,custer,NOUN,0.0137983901878
Badlands National Park,place,NOUN,0.0132432825366
Badlands National Park,trails,NOUN,0.0130721591253
Badlands National Park,formations,NOUN,0.0129359908011
Badlands National Park,visitor,NOUN,0.0126290350871
Badlands National Park,sturgis,NOUN,0.0122652357225
Big Bend National Park,chisos,NOUN,2.17894096166
Big Bend National Park,emory,NOUN,0.243457090688
Big Bend National Park,terlingua,NOUN,0.0852099817407
Big Bend National Park,elena,NOUN,0.0669506999391
Big Bend National Park,tm1,NOUN,0.0486914181376
Big Bend National Park,mountains,NOUN,0.0441564331149
Big Bend National Park,basin,NOUN,0.0385473726922
Big Bend National Park,ringtail,NOUN,0.0365185636032
Big Bend National Park,rio,NOUN,0.0349969567864
Big Bend National Park,panther,NOUN,0.030432136336
Big Bend National Park,laguna,NOUN,0.030432136336
Big Bend National Park,pulliam,NOUN,0.0243457090688
Big Bend National Park,chihuahuan,NOUN,0.0243457090688
Big Bend National Park,boquillas,NOUN,0.0243457090688
Big Bend National Park,desert,NOUN,0.0243457090688
Big Bend National Park,lodge,NOUN,0.0238046933117
Big Bend National Park,trail,NOUN,0.0232963250572
Big Bend National Park,mountain,NOUN,0.0212428245796
