park,word,pos,tfidf
Acadia National Park,cadillac,NOUN,0.399757722592
Acadia National Park,maine,NOUN,0.218049666869
Acadia National Park,jordan,NOUN,0.127195639007
Acadia National Park,carriage,NOUN,0.127195639007
Acadia National Park,beautiful,ADJ,0.112471020698
Acadia National Park,harbor,VERB,0.0969109630527
Acadia National Park,pond,NOUN,0.0635978195033
Acadia National Park,england,NOUN,0.045427013931
Acadia National Park,views,NOUN,0.0390335823407
Acadia National Park,great,ADJ,0.0390335823407
Acadia National Park,bar,NOUN,0.0386129618413
Acadia National Park,parl,NOUN,0.0363416111448
Acadia National Park,otter,NOUN,0.0363416111448
Acadia National Park,harbour,NOUN,0.0363416111448
Acadia National Park,foliage,NOUN,0.0363416111448
Acadia National Park,arcadia,INTJ,0.0363416111448
Acadia National Park,amazing,ADJ,0.0288786017132
Acadia National Park,beehive,VERB,0.0272562083586
Acadia National Park,coastline,NOUN,0.0242277407632
Acadia National Park,coast,NOUN,0.0233624643073
Acadia National Park,visit,VERB,0.0231264798194
Acadia National Park,thunder,NOUN,0.0227135069655
Acadia National Park,place,NOUN,0.0188315621386
Acadia National Park,sand,NOUN,0.0181708055724
Acadia National Park,york,NOUN,0.0181708055724
American Samoa National Park,pago,ADJ,1.22448979592
American Samoa National Park,villages,NOUN,0.30612244898
American Samoa National Park,unforgettablerm,X,0.30612244898
American Samoa National Park,scenic-,NOUN,0.30612244898
American Samoa National Park,mail,NOUN,0.30612244898
American Samoa National Park,boundaries,NOUN,0.30612244898
American Samoa National Park,blurred,VERB,0.30612244898
American Samoa National Park,office,NOUN,0.204081632653
American Samoa National Park,zero,NUM,0.15306122449
American Samoa National Park,units,NOUN,0.102040816327
American Samoa National Park,tropical,ADJ,0.102040816327
American Samoa National Park,setup,NOUN,0.102040816327
American Samoa National Park,rainforest,NOUN,0.102040816327
American Samoa National Park,fave,ADJ,0.102040816327
American Samoa National Park,island,NOUN,0.0874635568513
American Samoa National Park,beautiful,ADJ,0.079169598874
American Samoa National Park,quest,INTJ,0.0612244897959
American Samoa National Park,tourism,NOUN,0.0510204081633
American Samoa National Park,choices,NOUN,0.0510204081633
American Samoa National Park,maintained,VERB,0.0459183673469
American Samoa National Park,great,ADJ,0.0453514739229
American Samoa National Park,volcanic,ADJ,0.0437317784257
American Samoa National Park,sections,NOUN,0.0437317784257
American Samoa National Park,requires,VERB,0.0437317784257
American Samoa National Park,pacific,ADJ,0.0437317784257
Arches National Park,delicate,ADJ,0.330810037551
Arches National Park,moab,X,0.12517136556
Arches National Park,furnace,VERB,0.0643738451451
Arches National Park,utah,ADJ,0.0623302310135
Arches National Park,beautiful,ADJ,0.0599342696179
Arches National Park,amazing,ADJ,0.0570296068597
Arches National Park,fiery,ADV,0.0429158967634
Arches National Park,great,ADJ,0.0366904426033
Arches National Park,formations,NOUN,0.0294520860141
Arches National Park,devils,NOUN,0.0286105978423
Arches National Park,views,NOUN,0.0222526872107
Arches National Park,windows,NOUN,0.0214579483817
Arches National Park,place,NOUN,0.0214579483817
Arches National Park,visit,VERB,0.0210678038657
Arches National Park,rock,NOUN,0.0197975118998
Arches National Park,awesome,ADJ,0.0187118418924
Arches National Park,canyonlands,NOUN,0.0178816236514
Arches National Park,stunning,ADJ,0.0164373386642
Arches National Park,hike,INTJ,0.0164044460454
Arches National Park,scenery,NOUN,0.0158572888984
Arches National Park,spectacular,ADJ,0.0145702118641
Arches National Park,navtec,ADJ,0.0143052989211
Arches National Park,red,ADJ,0.0140498471547
Arches National Park,wow,INTJ,0.0140248028639
Arches National Park,breathtaking,NOUN,0.0138329541454
Badlands National Park,dakota,VERB,0.200626959248
Badlands National Park,sturgis,NOUN,0.0752351097179
Badlands National Park,eroded,VERB,0.0752351097179
Badlands National Park,amazing,ADJ,0.06381549485
Badlands National Park,beautiful,ADJ,0.0609663820128
Badlands National Park,bighorn,VERB,0.0564263322884
Badlands National Park,upside,ADV,0.0376175548589
Badlands National Park,unforgiving,VERB,0.0376175548589
Badlands National Park,unexpectadly,ADV,0.0376175548589
Badlands National Park,undecided,ADJ,0.0376175548589
Badlands National Park,twighlight,NOUN,0.0376175548589
Badlands National Park,tormented,VERB,0.0376175548589
Badlands National Park,starkly,ADV,0.0376175548589
Badlands National Park,sightseers,NOUN,0.0376175548589
Badlands National Park,sheep,NOUN,0.0376175548589
Badlands National Park,sci,NOUN,0.0376175548589
Badlands National Park,salvador,NOUN,0.0376175548589
Badlands National Park,paleontology,NOUN,0.0376175548589
Badlands National Park,nimble,ADJ,0.0376175548589
Badlands National Park,i-90,PROPN,0.0376175548589
Badlands National Park,griswald,NOUN,0.0376175548589
Badlands National Park,grasses,NOUN,0.0376175548589
Badlands National Park,founders,NOUN,0.0376175548589
Badlands National Park,footwear,NOUN,0.0376175548589
Badlands National Park,eassential,NOUN,0.0376175548589
Big Bend National Park,chisos,NOUN,1.56069364162
Big Bend National Park,texas,NOUN,0.329479768786
Big Bend National Park,chihuahuan,NOUN,0.173410404624
Big Bend National Park,basin,NOUN,0.123864574732
Big Bend National Park,thorough,ADJ,0.0867052023121
Big Bend National Park,sport,NOUN,0.0867052023121
Big Bend National Park,shangri,NOUN,0.0867052023121
Big Bend National Park,nook,NOUN,0.0867052023121
Big Bend National Park,metal,NOUN,0.0867052023121
Big Bend National Park,maple,NOUN,0.0867052023121
Big Bend National Park,lion,NOUN,0.0867052023121
Big Bend National Park,goregous,ADJ,0.0867052023121
Big Bend National Park,dual,ADJ,0.0867052023121
Big Bend National Park,cenrtal,ADJ,0.0867052023121
Big Bend National Park,captivate,VERB,0.0867052023121
Big Bend National Park,breathtakingmountains,NOUN,0.0867052023121
Big Bend National Park,afterward,ADV,0.0867052023121
Big Bend National Park,beautiful,ADJ,0.0717560294997
Big Bend National Park,mountains,NOUN,0.0677384393064
Big Bend National Park,desert,NOUN,0.0591171833946
Big Bend National Park,oasis,NOUN,0.055176037835
Big Bend National Park,range,NOUN,0.0433526011561
Big Bend National Park,ran,VERB,0.0433526011561
Big Bend National Park,mountainous,ADJ,0.0433526011561
Big Bend National Park,increasing,VERB,0.0433526011561
Biscayne National Park,miami,NOUN,0.316384180791
Biscayne National Park,paddle,INTJ,0.237288135593
Biscayne National Park,lighthouse,NOUN,0.135593220339
Biscayne National Park,institute,NOUN,0.135593220339
Biscayne National Park,boat,NOUN,0.122033898305
Biscayne National Park,snorkeling,NOUN,0.118644067797
Biscayne National Park,snorkel,NOUN,0.101694915254
Biscayne National Park,underwater,ADV,0.0847457627119
Biscayne National Park,waterfront,NOUN,0.0677966101695
Biscayne National Park,thebpark,NOUN,0.0677966101695
Biscayne National Park,submerged,VERB,0.0677966101695
Biscayne National Park,strolling,VERB,0.0677966101695
Biscayne National Park,sorted,VERB,0.0677966101695
Biscayne National Park,shipwreck,VERB,0.0677966101695
