park,word,pos,tfidf
Acadia National Park,harbor,VERB,0.626223091977
Acadia National Park,beehive,VERB,0.176125244618
Acadia National Park,visit,VERB,0.149439601494
Acadia National Park,wandering,VERB,0.117416829746
Acadia National Park,vacationed,VERB,0.117416829746
Acadia National Park,sue,VERB,0.117416829746
Acadia National Park,polishing,VERB,0.117416829746
Acadia National Park,playpen,VERB,0.117416829746
Acadia National Park,parkw,VERB,0.117416829746
Acadia National Park,paled,VERB,0.117416829746
Acadia National Park,numbing,VERB,0.117416829746
Acadia National Park,meandering,VERB,0.117416829746
Acadia National Park,emulate,VERB,0.117416829746
Acadia National Park,eagle,VERB,0.117416829746
Acadia National Park,accustomed,VERB,0.117416829746
Acadia National Park,fall,VERB,0.103184486746
Acadia National Park,hiking,VERB,0.0978473581213
Acadia National Park,plce,VERB,0.0587084148728
Acadia National Park,peeping,VERB,0.0587084148728
Acadia National Park,passes,VERB,0.0587084148728
Acadia National Park,overlooking,VERB,0.0587084148728
Acadia National Park,exhausted,VERB,0.0587084148728
Acadia National Park,bound,VERB,0.0587084148728
Acadia National Park,adjust,VERB,0.0587084148728
Acadia National Park,drive,VERB,0.0563600782779
American Samoa National Park,blurred,VERB,1.66666666667
American Samoa National Park,maintained,VERB,0.25
American Samoa National Park,requires,VERB,0.238095238095
American Samoa National Park,visit,VERB,0.181818181818
American Samoa National Park,hiked,VERB,0.151515151515
American Samoa National Park,track,VERB,0.138888888889
American Samoa National Park,beaten,VERB,0.138888888889
American Samoa National Park,limited,VERB,0.123456790123
American Samoa National Park,hiking,VERB,0.104166666667
American Samoa National Park,appreciate,VERB,0.0980392156863
American Samoa National Park,find,VERB,0.0952380952381
American Samoa National Park,setting,VERB,0.0724637681159
American Samoa National Park,drive,VERB,0.0666666666667
American Samoa National Park,stop,VERB,0.0653594771242
American Samoa National Park,think,VERB,0.0574712643678
American Samoa National Park,went,VERB,0.045045045045
American Samoa National Park,walking,VERB,0.045045045045
American Samoa National Park,explore,VERB,0.045045045045
American Samoa National Park,check,VERB,0.0416666666667
American Samoa National Park,want,VERB,0.0406504065041
American Samoa National Park,got,VERB,0.0406504065041
American Samoa National Park,hikes,VERB,0.0387596899225
Arches National Park,furnace,VERB,0.426708810747
Arches National Park,visit,VERB,0.139650156244
Arches National Park,hiking,VERB,0.090873172659
Arches National Park,hikes,VERB,0.076631168855
Arches National Park,jeep,VERB,0.0711181351245
Arches National Park,crowded,VERB,0.0567697394415
Arches National Park,garden,VERB,0.0563018569735
Arches National Park,sandstone,VERB,0.0521532990913
Arches National Park,miss,VERB,0.0498310742709
Arches National Park,intetesting,VERB,0.047412090083
Arches National Park,carry,VERB,0.0355590675622
Arches National Park,drive,VERB,0.0327143421573
Arches National Park,loved,VERB,0.0323678691913
Arches National Park,closes,VERB,0.0316080600553
Arches National Park,balancing,VERB,0.0316080600553
Arches National Park,missed,VERB,0.0248086517876
Arches National Park,inspiring,VERB,0.024284241262
Arches National Park,unfolds,VERB,0.0237060450415
Arches National Park,turning,VERB,0.0237060450415
Arches National Park,torn,VERB,0.0237060450415
Arches National Park,thie,VERB,0.0237060450415
