park,beautiful,amazing,great,views,place,awesome,trip,visit,worth,day,breathtaking,experience,spectacular,tour,stunning,wow,best,drive,view,time,wonderful,scenery,beauty,nature,sunrise,spending,average_spend,Scored Labels
Rocky Mountain National Park,0.03012,0.008876,0.016575,0.026882,0.027273,0.012195,0.017143,0.038095,0.008772,0,0.039326,0.020619,0.011111,0,0.045977,0.031915,0.028986,0.010638,0.008333,0,0,0.033333,0,0.056604,0,268391.4,0.025641,223689.157168
Haleakala National Park,0.063253,0.136095,0.121547,0.150538,0.054545,0.140244,0.091429,0.085714,0.342105,0.097222,0.067416,0.278351,0.233333,0.023438,0.091954,0.042553,0.115942,0.265957,0.25,0.072727,0.136364,0.011111,0.078431,0,0.352,47445.4,0.025641,73373.964646
Hawaii Volcanoes National Park,0.093373,0.360947,0.546961,0.155914,0.754545,0.304878,0.228571,0.704762,0.473684,0.486111,0.061798,1,0.166667,0.132813,0.091954,0.234043,0.391304,0.223404,0.166667,0.545455,0.409091,0.066667,0.078431,0.471698,0.008,151246.2,0.038462,131783.167666
American Samoa National Park,0.009036,0.002959,0.005525,0,0,0,0,0.009524,0,0,0,0,0,0,0,0,0,0,0.008333,0,0,0,0.019608,0,0,1690,0.025641,-7775.250244
Crater Lake National Park,0.228916,0.10355,0.060773,0.107527,0.154545,0.073171,0.097143,0.190476,0.114035,0.0625,0.123596,0.020619,0.111111,0.015625,0.218391,0.244681,0.101449,0.106383,0.016667,0.018182,0.090909,0.111111,0.215686,0.056604,0.004,65300.7,0.044872,56182.474049
Dry Tortugas National Park,0.126506,0.109467,0.259669,0.026882,0.318182,0.091463,0.462857,0.161905,0.254386,0.395833,0.011236,0.185567,0.022222,0.0625,0.057471,0.117021,0.15942,0,0,0.127273,0.227273,0.022222,0.039216,0.037736,0,3426,0.025641,10156.931853
Mount Rainier National Park,0.072289,0.026627,0.071823,0.043011,0.054545,0.04878,0.045714,0.019048,0.061404,0.0625,0.033708,0,0.1,0.007813,0.057471,0.031915,0.086957,0.042553,0.041667,0,0.136364,0.055556,0.078431,0.037736,0.004,45531.7,0.012821,38053.862215
Great Smoky Mountains National Park,0.53012,0.076923,0,0.295699,0.290909,0.128049,0.08,0.285714,0.04386,0.034722,0.179775,0.061856,0.066667,0.007813,0.068966,0.074468,0.246377,0.287234,0.075,0.254545,0.363636,0.177778,0.372549,0.320755,0,953130,0.038462,51716.988821
Mesa Verde National Park,0.009036,0.050296,0.055249,0.016129,0.063636,0.02439,0.017143,0.057143,0.061404,0.006944,0.005618,0.061856,0.011111,0.28125,0.034483,0.010638,0.028986,0.031915,0,0.018182,0.113636,0,0,0,0,58513,0.051282,62546.539836
Black Canyon Of The Gunnison National Park,0.021084,0.026627,0.038674,0.037634,0.036364,0.036585,0.005714,0.057143,0.052632,0.006944,0.022472,0.020619,0.055556,0,0.034483,0.010638,0.028986,0,0.016667,0,0.022727,0.055556,0.058824,0,0,10948.4,0.025641,16589.782641
Lassen Volcanic National Park,0.024096,0.02071,0.060773,0.016129,0.018182,0.006098,0.022857,0.047619,0.035088,0.006944,0.005618,0.010309,0.011111,0.007813,0.011494,0,0,0.053191,0.033333,0.018182,0.068182,0,0.039216,0.018868,0,32639.4,0.025641,26549.82731
