park,views,place,trip,day,breathtaking,experience,tour,wow,view,time,scenery,beauty,nature,sunrise,hike,world,list,bucket,rim,parks,fun,wonder,sunset,breath,road,average_spend,spending,Scored Labels
Congaree National Park,0,0.036364,0.017143,0.006944,0,0.030928,0.007813,0,0,0,0,0.019608,0.056604,0,0.015385,0,0,0,0,0,0.032258,0,0,0,0,0.019231,7415,2247.44526
Haleakala National Park,0.150538,0.054545,0.091429,0.097222,0.067416,0.278351,0.023438,0.042553,0.25,0.072727,0.011111,0.078431,0,0.352,0.138462,0.212766,0.031579,0.032967,0,0.028169,0.129032,0,0.37931,0.06383,0.03125,0.025641,47445.4,11617.216788
Rocky Mountain National Park,0.005376,0.009091,0,0,0.005618,0,0,0.010638,0,0,0,0,0.018868,0,0.015385,0,0,0,0,0,0,0,0,0,0,0.025641,186128.1,264797.03025
Lassen Volcanic National Park,0,0.027273,0.011429,0,0,0,0,0.031915,0.008333,0.018182,0.011111,0,0,0,0.076923,0,0.010526,0,0,0.028169,0.032258,0,0.011494,0,0,0.025641,25148.9,11115.069693
Grand Teton National Park,0.155914,0.1,0.005714,0,0.05618,0.010309,0.007813,0.053191,0.066667,0.018182,0.133333,0.058824,0.037736,0,0.076923,0.010638,0.021053,0.021978,0,0.056338,0,0,0,0.06383,0.015625,0.102564,628933,577188.215951
Redwood National Park,0.005376,0.045455,0.005714,0,0.005618,0.051546,0,0.053191,0,0,0.022222,0.058824,0.056604,0,0,0.031915,0.010526,0.010989,0,0.028169,0,0.009709,0,0.042553,0,0.025641,34282.7,29733.45977
Great Basin National Park,0.005376,0,0.005714,0.013889,0,0,0,0,0,0.018182,0.011111,0,0,0,0,0,0,0,0,0.014085,0,0,0,0,0.015625,0.019231,5846.3,-1418.924094
Carlsbad Caverns National Park,0,0.027273,0.011429,0,0.022472,0.030928,0.03125,0.021277,0.008333,0.054545,0,0,0.037736,0,0,0,0.010526,0.010989,0,0,0.032258,0.029126,0,0,0,0.025641,22584.7,24325.672227
Crater Lake National Park,0.096774,0.109091,0.068571,0.006944,0.101124,0.041237,0.015625,0.095745,0.075,0.054545,0.033333,0.215686,0.037736,0,0.015385,0.021277,0.031579,0.021978,0.011976,0.014085,0.032258,0.07767,0,0.12766,0.015625,0.038462,44787.6,42319.451925
Carlsbad Caverns National Park,0.010753,0.036364,0.005714,0.006944,0,0.072165,0.039063,0.053191,0,0.054545,0,0.019608,0.075472,0,0.030769,0.031915,0.021053,0.021978,0,0,0.064516,0.019417,0,0,0,0.025641,28116.1,24883.881774
Arches National Park,0.575269,1,0.222857,0.3125,0.460674,0.340206,0.15625,0.702128,0.133333,0.672727,1,0.843137,0.735849,0.04,1,0.202128,0.189474,0.175824,0,1,0.774194,0.213592,0.287356,0.340426,0.125,0.064103,188802.5,162984.465744
Cuyahoga Valley National Park,0,0.054545,0.022857,0.069444,0,0,0,0.010638,0,0,0.022222,0,0.09434,0,0.092308,0,0.010526,0,0,0.028169,0.096774,0,0,0,0.015625,0.00641,69728.2,84657.466577
Big Bend National Park,0.010753,0.009091,0.005714,0,0,0.020619,0,0,0.008333,0,0,0,0,0,0.015385,0,0,0,0,0,0,0,0.011494,0,0.015625,0.044872,38865,20599.549812
Bryce Canyon National Park,0.317204,0.327273,0.125714,0.152778,0.196629,0.103093,0.054688,0.361702,0.058333,0.127273,0.211111,0.313725,0.075472,0.012,0.138462,0.085106,0.073684,0.043956,0.011976,0.225352,0.032258,0.019417,0.057471,0.148936,0.046875,0.038462,227305,130741.226098
Glacier Bay National Park,0.053763,0.036364,0.028571,0.041667,0.101124,0.103093,0.015625,0.148936,0.025,0,0.066667,0.078431,0.037736,0,0,0.021277,0.031579,0.032967,0,0,0,0.009709,0,0.085106,0,0.128205,112054.6,111278.909422
Theodore Roosevelt National Park,0.032258,0.063636,0.022857,0.006944,0,0.020619,0,0.021277,0,0.036364,0.066667,0.019608,0.075472,0,0.015385,0,0,0,0,0.084507,0,0.009709,0,0,0.078125,0.025641,47862,33403.646968
Kenai Fjords National Park,0.010753,0.009091,0.045714,0.027778,0.005618,0.061856,0.007813,0.010638,0,0.018182,0.011111,0.019608,0.018868,0,0.076923,0,0,0,0,0.014085,0,0,0,0,0,0.108974,52487.9,46935.339282
Arches National Park,0.322581,0.590909,0.24,0.270833,0.213483,0.185567,0.101563,0.319149,0.058333,0.309091,0.388889,0.372549,0.415094,0.032,0.753846,0.06383,0.178947,0.186813,0,0.422535,0.258065,0.087379,0.103448,0.148936,0.140625,0.064103,200337,169120.109228
Canyonlands National Park,0.016129,0,0.005714,0.006944,0,0,0,0,0.008333,0,0.011111,0.058824,0,0,0,0,0,0,0,0,0,0,0,0.021277,0,0.025641,37958.8,-171457.864579
Haleakala National Park,0.403226,0.245455,0.302857,0.256944,0.314607,0.618557,0.109375,0.287234,0.675,0.309091,0.088889,0.235294,0.188679,0.88,0.230769,0.414894,0.073684,0.032967,0,0,0.258065,0.07767,1,0.191489,0.109375,0.025641,76462.5,-39671.029381
Hot Springs National Park,0.021505,0.090909,0.017143,0.006944,0.005618,0.020619,0.03125,0.010638,0,0.054545,0,0,0,0,0.015385,0.021277,0.010526,0,0,0.028169,0.096774,0,0,0,0,0.025641,97854.3,88418.842158
Mesa Verde National Park,0.010753,0.063636,0.017143,0.006944,0.022472,0.041237,0.171875,0.085106,0.05,0.127273,0,0,0,0,0.015385,0.010638,0.010526,0.010989,0,0,0.032258,0.009709,0,0.021277,0,0.051282,62294.4,34712.526286
Grand Teton National Park,0.102151,0.090909,0.022857,0.013889,0.067416,0.030928,0.015625,0.053191,0.058333,0.054545,0.155556,0.098039,0.056604,0.004,0.030769,0.010638,0.042105,0.043956,0,0.042254,0,0.009709,0.011494,0.042553,0.015625,0.102564,489710.1,553677.350921
Channel Islands National Park,0.005376,0,0.022857,0.027778,0,0.010309,0,0.010638,0,0,0,0.058824,0,0,0.015385,0.010638,0.010526,0.010989,0,0,0.032258,0,0,0,0,0.025641,13997.1,10132.347893
Zion National Park,0.037634,0.109091,0.028571,0.034722,0.016854,0.051546,0.007813,0.053191,0.008333,0.036364,0.055556,0.078431,0.09434,0,0.015385,0.010638,0.021053,0.021978,0,0.042254,0,0.019417,0,0.06383,0,0.019231,172231.9,216867.599331
