park,visit,drive,hiking,miss,taking,inspiring,loved,crowded,stop,hikes,ride,missed,seen,walk,spend,perfect,visiting,describe,enjoy,need,hidden,going,got,seeing,bring,spending,average_spend,Scored Labels
Indiana Dunes National Park,0.047619,0,0.078125,0,0,0,0,0,0,0.037037,0,0,0,0.076923,0.045455,0,0,0,0,0.083333,0.230769,0,0,0,0.083333,69879.4,0.019802,70162.413779
Arches National Park,0.32381,0.021277,0.21875,0.315789,0.157895,0.131579,0.190476,0.073171,0.041667,0.092593,0,0.5,0.045455,0.153846,0.181818,0,0.2,0.030303,0.272727,0.083333,0,0,0.083333,0,0.333333,162718.2,0.09901,167764.289405
Carlsbad Caverns National Park,0.009524,0.010638,0,0,0,0,0,0,0,0,0.045455,0,0,0,0,0,0,0.060606,0,0.083333,0,0.111111,0,0,0,22584.7,0.039604,4093.300198
Redwood National Park,0.019048,0.010638,0.015625,0,0.026316,0.052632,0,0,0,0,0.045455,0.0625,0.045455,0.076923,0,0,0,0.090909,0.181818,0,0.076923,0,0,0,0,31071,0.039604,526.124507
Great Basin National Park,0,0.010638,0.015625,0,0,0.026316,0,0,0.041667,0,0.045455,0,0,0,0,0,0,0,0,0,0.230769,0,0,0,0,4927.3,0.029703,-11277.627316
Dry Tortugas National Park,0.190476,0,0,0.236842,0.026316,0,0.428571,0,0.041667,0,0.727273,0.0625,0.045455,0,0.227273,0.416667,0.4,0.060606,0.181818,0.25,0.153846,0.222222,0.083333,0.083333,0.083333,3783.6,0.039604,-54550.947276
Congaree National Park,0.057143,0.010638,0.046875,0,0,0,0.095238,0,0,0.018519,0,0,0,0.230769,0.045455,0,0,0,0,0,0.153846,0,0,0,0.166667,7827.5,0.029703,-6931.462781
Death Valley National Park,0.047619,0.12766,0,0.078947,0.105263,0,0,0,0.041667,0,0.090909,0.125,0,0,0,0.083333,0,0,0,0,0,0,0,0,0.083333,106839.2,0.059406,97519.793096
Denali National Park,0.066667,0.010638,0.03125,0.026316,0.078947,0.026316,0.047619,0,0,0,0.181818,0.125,0.090909,0,0,0.083333,0.133333,0.030303,0.090909,0.166667,0,0,0.166667,0.083333,0,602445,0.980198,535999.994039
Petrified Forest National Park,0.057143,0.042553,0,0,0.026316,0,0.095238,0,0.208333,0,0,0.0625,0.136364,0.076923,0.136364,0.083333,0,0,0,0.083333,0,0,0,0.25,0,39510.1,0.039604,13515.026645
Kenai Fjords National Park,0.047619,0.010638,0.046875,0.105263,0.026316,0,0.047619,0,0.125,0.055556,0.045455,0,0,0.153846,0.090909,0.083333,0,0,0,0.25,0.076923,0.111111,0.083333,0,0,59320.6,0.178218,56494.173303
Great Basin National Park,0.038095,0.031915,0.046875,0,0,0,0,0.02439,0.041667,0,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,8362.4,0.039604,9226.989558
Grand Teton National Park,0.12381,0.042553,0.0625,0.052632,0.184211,0.157895,0.095238,0.02439,0,0.055556,0,0.0625,0.045455,0,0,0.083333,0,0,0.181818,0,0,0,0,0.166667,0,597290.5,0.158416,593452.002641
Everglades National Park,0.095238,0.042553,0.015625,0.078947,0,0,0,0,0.125,0,0.181818,0.125,0,0,0,0.083333,0.133333,0,0,0,0,0,0.083333,0,0.083333,97398.3,0.079208,105807.047954
Theodore Roosevelt National Park,0.028571,0.06383,0.015625,0.026316,0.026316,0,0.047619,0,0.125,0,0,0,0.045455,0,0.045455,0,0,0,0,0.083333,0.307692,0,0.083333,0,0,33959.9,0.039604,18806.159193
Bryce Canyon National Park,0.12381,0.042553,0.109375,0.157895,0.184211,0.026316,0.333333,0.097561,0.083333,0.111111,0,0.125,0.227273,0.076923,0.136364,0.25,0.133333,0.060606,0.090909,0,0,0,0,0.166667,0.083333,227305,0.059406,118852.636277
Capitol Reef National Park,0.07619,0.095745,0.0625,0.078947,0,0,0.142857,0.02439,0.083333,0.018519,0,0.0625,0,0,0,0,0,0,0.090909,0,0,0,0.083333,0,0,89216,0.049505,76841.778709
Crater Lake National Park,0.07619,0.053191,0,0.131579,0.052632,0.078947,0,0,0.041667,0.037037,0.136364,0.125,0.318182,0,0,0,0,0.030303,0.090909,0,0.153846,0,0.083333,0,0.166667,36097,0.059406,28962.902053
Olympic National Park,0.038095,0,0.046875,0,0,0,0,0,0,0.074074,0,0,0,0.153846,0,0,0,0,0,0,0,0,0,0.083333,0.083333,286786.3,0.059406,243044.502401
Death Valley National Park,0,0.074468,0,0.052632,0.052632,0.052632,0,0.02439,0.041667,0,0.045455,0,0,0.076923,0,0.083333,0.066667,0,0,0,0,0,0,0,0.166667,89177.4,0.059406,79390.521188
Lassen Volcanic National Park,0.009524,0.031915,0,0,0,0,0.095238,0.02439,0,0.018519,0,0.0625,0,0,0,0.083333,0,0,0.090909,0.083333,0,0,0,0,0,27361.5,0.039604,6137.82808
Hawaii Volcanoes National Park,0.72381,0.170213,0.21875,0.921053,0,0.315789,0.142857,0,0.208333,0.185185,0.090909,0.125,0.136364,0.615385,0.454545,0,0.533333,0,0.090909,0.25,0,0.222222,0.75,0.583333,0.5,166177.3,0.059406,239011.365237
Indiana Dunes National Park,0.009524,0,0.0625,0.026316,0.026316,0,0.047619,0.02439,0,0,0,0,0,0.153846,0.045455,0,0,0,0.090909,0,0.153846,0,0,0,0,77852,0.019802,75655.127734
Zion National Park,0.066667,0.031915,0.015625,0,0.026316,0.052632,0.047619,0.02439,0,0.055556,0.045455,0.0625,0.090909,0,0,0.166667,0.066667,0,0,0.083333,0,0,0,0,0,147051.9,0.029703,196930.488316
Grand Teton National Park,0.07619,0.031915,0.046875,0.026316,0.052632,0.026316,0.190476,0.02439,0.041667,0.018519,0.090909,0.0625,0,0,0.045455,0.083333,0.066667,0.030303,0,0,0.076923,0.055556,0,0,0,489710.1,0.158416,543609.226728
Mount Rainier National Park,0.019048,0.042553,0.09375,0.052632,0.026316,0.026316,0,0.02439,0,0.018519,0,0,0.045455,0,0.045455,0,0,0,0.181818,0,0,0,0.083333,0.083333,0,45531.7,0.019802,60189.273897
Yosemite National Park,0.295238,0.074468,0.0625,0.105263,0.315789,0.131579,0.142857,1,0,0.055556,0.090909,0,0.090909,0.461538,0,0.583333,0.066667,0,0.090909,0.166667,0,0.111111,0,0,0.25,520629.1,0.079208,462749.830876
Grand Canyon National Park,0.657143,0.148936,0.15625,0.184211,0.631579,0.552632,0.333333,0.170732,0.208333,0.055556,0.181818,0.4375,0.318182,0.538462,0.136364,0.166667,0.133333,0.363636,0.272727,0.583333,0,0.277778,0.25,0.166667,0.166667,666912.8,0.089109,703408.017971
Glacier National Park,0.047619,0.43617,0.03125,0.052632,0.026316,0.026316,0,0.04878,0.041667,0.037037,0.181818,0.3125,0.045455,0,0,0,0.066667,0.030303,0.090909,0,0,0.444444,0.166667,0,0.083333,344287,0.09901,258880.320816
Olympic National Park,0.009524,0.021277,0.03125,0,0,0,0.047619,0,0,0.018519,0,0,0,0,0,0,0,0,0.090909,0,0,0,0,0,0.083333,263953.3,0.059406,259859.675166
Kings Canyon National Park,0.028571,0.12766,0.015625,0.052632,0,0,0.047619,0.02439,0,0,0,0,0,0.076923,0,0,0,0,0,0,0.076923,0,0,0,0,58740.9,0.059406,46204.61122
